alpha,rxx_alpha,gamma,rxx_gamma,beta,rxx_beta
-180,305.057713682745,-30,304.746828889053,-30,304.424381
-170,305.229492048,-25,304.746071240734,-25,304.385269
-150,305.389186778511,-20,304.733003592416,-20,304.361508
-145,305.373302961138,-15,304.735825944098,-15,304.323001
-140,305.344396143766,-10,304.73228529578,-10,304.294192
-135,305.325467326393,-5,304.736029647462,-5,304.283121
-130,305.286741509021,0,304.729371999143,0,304.280925
-125,305.254600691648,5,304.730655350825,5,304.287373
-120,305.229188874276,10,304.743512702507,10,304.315093
-115,305.192035056903,15,304.744488054189,15,304.335341
-110,305.175038239531,20,304.74480540587,20,304.393532
-105,305.140034422158,25,304.754446757552,25,304.423961
-100,305.119048604786,30,304.751721109234,30,304.468956
-95,305.093359787413,35,304.768119460916,35,304.508078
-90,305.091055970041,40,304.762212812597,40,304.537118
-85,305.081737152669,45,304.770316164279,45,304.577071
-80,305.074736335296,50,304.779923515961,50,304.613403
-75,305.088502517924,55,304.776875867643,55,304.640589
-70,305.097136700551,60,304.781186219324,60,304.670978
-65,305.117059883179,65,304.787784571006,65,304.689194
-60,305.137307065806,70,304.780408922688,70,304.707067
-55,305.184468248434,75,304.77690827437,75,304.722576
-50,305.217488431061,80,304.784348626052,80,304.729033
-45,305.243569613689,85,304.793989977733,85,304.739722
-40,305.294605796316,90,304.791828329415,90,304.74111
-35,305.331445978944,95,304.788303681097,95,304.745194
-30,305.373167161571,100,304.777956032779,100,304.731483
-25,305.420102344199,105,304.78252138446,105,304.714806
-20,305.467329526827,110,304.777220736142,110,304.700437
-15,305.485290709454,115,304.773155087824,115,304.688276
-10,305.524297892082,120,304.767713439506,120,304.652357
-5,305.549185074709,125,304.759396791187,125,304.628497
0,305.567109257337,130,304.763689142869,130,304.602745
5,305.578432439964,135,304.767395494551,135,304.564231
10,305.584269622592,140,304.753646846233,140,304.523088
15,305.575884805219,145,304.757326197914,145,304.473607
20,305.554964987847,150,304.741224549596,150,304.436671
25,305.545563170474,155,304.729348901278,155,304.388287
30,305.520208353102,160,304.74277225296,160,304.348524
35,305.497088535729,165,304.741655604642,165,304.303155
40,305.457534718357,170,304.745092956323,170,304.27879
45,305.426889900985,175,304.733207308005,175,304.270562
50,305.387840083612,180,304.725638659687,180,304.253768
55,305.33697326624,,,,
60,305.299338448867,,,,
65,305.264982631495,,,,
70,305.235471814122,,,,
75,305.19234099675,,,,
80,305.151472179377,,,,
85,305.119833362005,,,,
90,305.096926544632,,,,
95,305.08724272726,,,,
100,305.080820909887,,,,
105,305.079361092515,,,,
110,305.100557275143,,,,
115,305.13477045777,,,,
120,305.164248640398,,,,
125,305.202493823025,,,,
130,305.239766005653,,,,
135,305.25347018828,,,,
140,305.294505370908,,,,
145,305.333816553535,,,,
150,305.371286736163,,,,
155,305.40676491879,,,,
160,305.424676101418,,,,
165,305.436761284045,,,,
170,305.460063466673,,,,
175,305.4661586493,,,,
180,305.463717831928,,,,
