A,B,C,D,E,F
1.90nmH,1.90nm,2.14nmH,2.14nm,2.37nmH,2.37nm
-1000,10.07,-1036,10.1,-1050,10.21
-500,6.99,-518,7.03,-524.5,7.086
-300,5.4,-312,5.36,-315.1,5.46
-103.3,3.34,-107,3.14,-107.4,3.31
-54.7,2.63,-56.5,2.23,-56.2,2.57
-45.3,2.54,-46.9,2.15,-46.3,2.41
-36,2.29,-37.3,1.95,-36.4,2.22
-27,2.14,-27.9,1.76,-27,2.036
-17.4,1.96,-18,1.56,-16.9,1.94
-8.8,1.84,-9.1,1.55,-7.9,1.78
11.1,1.7,11.8,1.61,13.2,1.794
20.8,1.97,21.9,1.65,23.3,1.97
30.5,2.17,32,1.84,33.6,2.17
40.1,2.34,42,2.048,43.7,2.34
90.5,3.13,94.5,2.95,96.8,3.16
292.2,5.31,303.9,5.29,308.9,5.4
493.7,6.93,512,6.96,521,7.055
999.1,10.05,1036.4,10.18,1052.1,10.21
